Manufacturer Part Number,Supplier Part Number,Description,Package,Capacitance,Tolerance,Voltage Rating,Temperature Coefficient,Link
FCC0805B104K500DT,C5137467,100nF ±10% 50V Ceramic Capacitor X7R 0805,0805,100nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137467.html
FCC0603B104K500CT,C5137636,100nF ±10% 50V Ceramic Capacitor X7R 0603,0603,100nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137636.html
FCC0805X226M250FT,C7419435,22uF ±20% 25V Ceramic Capacitor X5R 0805,0805,22uF,±20%,25V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7419435.html
FCC0603N470J500CT,C5137501,47pF ±5% 50V Ceramic Capacitor C0G 0603,0603,47pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137501.html
FCC0603B103K500CT,C5137477,10nF ±10% 50V Ceramic Capacitor X7R 0603,0603,10nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137477.html
FCC0805B332K500DT,C7467177,3.3nF ±10% 50V Ceramic Capacitor X7R 0805,0805,3.3nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467177.html
FCC1206X106K500HT,C7467044,10uF ±10% 50V Ceramic Capacitor X5R 1206,1206,10uF,±10%,50V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467044.html
FCC0603B334K500CT,C7419419,330nF ±10% 50V Ceramic Capacitor X7R 0603,0603,330nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7419419.html
FCC0402B333K500AT,C7419416,33nF ±10% 50V Ceramic Capacitor X7R 0402,0402,33nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7419416.html
FCC0603N180J500CT,C5137620,18pF ±5% 50V Ceramic Capacitor C0G 0603,0603,18pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137620.html
FCC0402N101J500AT,C5137573,100pF ±5% 50V Ceramic Capacitor C0G 0402,0402,100pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137573.html
FCC0402N330J500AT,C5137486,33pF ±5% 50V Ceramic Capacitor C0G 0402,0402,33pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137486.html
FCC0402B103K500AT,C5137480,10nF ±10% 50V Ceramic Capacitor X7R 0402,0402,10nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137480.html
FCC0805B105K500FT,C5137478,1uF ±10% 50V Ceramic Capacitor X7R 0805,0805,1uF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137478.html
FCC1206B222K501DT,C7467129,2.2nF ±10% 500V Ceramic Capacitor X7R 1206,1206,2.2nF,±10%,500V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7467129.html
FCC0603X475K6R3CT,C7419427,4.7uF ±10% 6.3V Ceramic Capacitor X5R 0603,0603,4.7uF,±10%,6.3V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C7419427.html
FCC0805B102K102FT,C5137645,1nF ±10% 1kV Ceramic Capacitor X7R 0805,0805,1nF,±10%,1kV,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137645.html
FCC1206B103K500DT,C5137623,10nF ±10% 50V Ceramic Capacitor X7R 1206,1206,10nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137623.html
FCC0603N100J500CT,C5137581,10pF ±5% 50V Ceramic Capacitor C0G 0603,0603,10pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137581.html
FCC0603B222K500CT,C5137562,2.2nF ±10% 50V Ceramic Capacitor X7R 0603,0603,2.2nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137562.html
FCC0603B224K500CT,C5137500,220nF ±10% 50V Ceramic Capacitor X7R 0603,0603,220nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137500.html
FCC0805B103K500DT,C5137493,10nF ±10% 50V Ceramic Capacitor X7R 0805,0805,10nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137493.html
FCC0603B473K500CT,C5137490,47nF ±10% 50V Ceramic Capacitor X7R 0603,0603,47nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137490.html
FCC0603B102K500CT,C5137481,1nF ±10% 50V Ceramic Capacitor X7R 0603,0603,1nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137481.html
FCC0402B102K500AT,C5137470,1nF ±10% 50V Ceramic Capacitor X7R 0402,0402,1nF,±10%,50V,X7R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137470.html
FCC0603X105K250CT,C5137604,1uF ±10% 25V Ceramic Capacitor X5R 0603,0603,1uF,±10%,25V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137604.html
FCC0603X106M100CT,C5137578,10uF ±20% 10V Ceramic Capacitor X5R 0603,0603,10uF,±20%,10V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137578.html
FCC0402N220J500AT,C5137569,22pF ±5% 50V Ceramic Capacitor C0G 0402,0402,22pF,±5%,50V,C0G,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137569.html
FCC0603X106K100CT,C5137565,10uF ±10% 10V Ceramic Capacitor X5R 0603,0603,10uF,±10%,10V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137565.html
FCC0603X225K160CT,C5137502,2.2uF ±10% 16V Ceramic Capacitor X5R 0603,0603,2.2uF,±10%,16V,X5R,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C5137502.html
