Manufacturer Part Number,Supplier Part Number,Description,Package,Resistance,Tolerance,Voltage Rating,Power,Link
FRC0603F1002TS,C2906982,10kΩ ±1% 100mW 0603 Thick Film Resistor,0603,10kΩ,±1%,75V,100mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2906982.html
FRC0603J103 TS,C2930027,10kΩ ±5% 100mW 0603 Thick Film Resistor,0603,10kΩ,±5%,75V,100mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2930027.html
FRC0603F0000TS,C2906974,100mW 0Ω 75V Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount RoHS,0603,0Ω,±1%,75V,100mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2906974.html
FRC0603F1001TS,C2907002,1kΩ ±1% 100mW 0603 Thick Film Resistor,0603,1kΩ,±1%,75V,100mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2907002.html
FRC0603F5101TS,C2907044,5.1kΩ ±1% 100mW 0603 Thick Film Resistor,0603,5.1kΩ,±1%,75V,100mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2907044.html
FRC0603F1003TS,C2906980,100kΩ ±1% 100mW 0603 Thick Film Resistor,0603,100kΩ,±1%,75V,100mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2906980.html
FRC0603F33R0TS,C2909394,33Ω ±1% 100mW 0603 Thick Film Resistor,0603,33Ω,±1%,75V,100mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2909394.html
FRC0805F4701TS,C2907264,4.7kΩ ±1% 125mW 0805 Thick Film Resistor,0805,4.7kΩ,±1%,150V,125mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2907264.html
FRC0805F1001TS,C2907232,1kΩ ±1% 125mW 0805 Thick Film Resistor,0805,1kΩ,±1%,150V,125mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2907232.html
FRC0805F1002TS,C2907219,10kΩ ±1% 125mW 0805 Thick Film Resistor,0805,10kΩ,±1%,150V,125mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2907219.html
FRC0603F4702TS,C2907042,47kΩ ±1% 100mW 0603 Thick Film Resistor,0603,47kΩ,±1%,75V,100mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2907042.html
FRC0603F3301TS,C2907023,3.3kΩ ±1% 100mW 0603 Thick Film Resistor,0603,3.3kΩ,±1%,75V,100mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2907023.html
FRC0603F1000TS,C2906981,100Ω ±1% 100mW 0603 Thick Film Resistor,0603,100Ω,±1%,75V,100mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2906981.html
FRC2512P000 TS,C2907567,1W 0Ω 200V Thick Film Resistor ±5% 2512 Chip Resistor - Surface Mount RoHS,2512,0Ω,±5%,200V,1W,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2907567.html
FRC1206F4701TS,C2907387,4.7kΩ ±1% 250mW 1206 Thick Film Resistor,1206,4.7kΩ,±1%,200V,250mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2907387.html
FRC0805P000 TS,C2907288,125mW 0Ω 150V Thick Film Resistor ±5% 0805 Chip Resistor - Surface Mount RoHS,0805,0Ω,±5%,150V,125mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2907288.html
FRC0805F3301TS,C2907249,3.3kΩ ±1% 125mW 0805 Thick Film Resistor,0805,3.3kΩ,±1%,150V,125mW,https://www.lcsc.comhttps://www.lcsc.com/product-detail/C2907249.html
